,Category,Text
0,alarm_set,despiértame a las nueve de la mañana el viernes
1,alarm_set,pon una alarma en dos horas desde ahora
2,alarm_set,poner una alarma a las doce
3,alarm_set,poner una alarma dentro de cuarenta minutos
4,alarm_set,poner alarma a las ocho cada día entre semana
5,alarm_set,poner la alarma a las diez de la mañana
6,alarm_set,pon una alarma a las cuatro de la tarde
7,alarm_set,olly avísame a las tres de la tarde para ir al concierto
8,alarm_set,avísame a las tres de la tarde que vaya al concierto
9,alarm_set,poner una alarma para mi a las ocho de la mañana
10,alarm_set,pon alarma a las cuatro de la tarde
11,alarm_set,poner una alarma despertador a las ocho cuarenta y cinco de la mañana
12,alarm_set,necesito una alarma recordatorio a la una
13,alarm_set,pon una alarma a las nueve de la mañana
14,alarm_set,programar la alarma para que comience
15,alarm_set,cambiar la alarma para que comience a la medianoche
16,alarm_set,por favor pon la alarma para la siguiente mañana a las siete de la mañana
17,alarm_set,crear una alarma mañana a las cuatro en punto de la mañana
18,alarm_set,poner una alarma para levantarme en cinco horas
19,alarm_set,programar una alarma para despertarme dentro de tres horas
20,alarm_set,pon mi alarma por favor
21,alarm_set,poner la alarma para las cinco en punto de la mañana
22,alarm_set,poner mi alarma mañana a las seis y media de la mañana
23,alarm_set,quiero la alarma activada a las seis
24,alarm_set,pon alarma
25,alarm_set,poner alarma a las cinco y media de la mañana
26,alarm_set,alarma de encaje a las cinco en punto de la mañana
27,alarm_set,establece la hora
28,alarm_set,establecer tono de alarma
29,alarm_set,poner alarma para cada mañana del martes del mes de marzo a las ocho de la mañana
30,alarm_set,establecer la alarma de toda la semana por la mañana a las diez de la mañana del mes de abril
31,alarm_set,por favor poner una alarma a las cinco de la tarde
32,alarm_set,despiértame a las seis de la mañana
33,alarm_set,pon alarma a las cinco de la mañana
34,alarm_set,poner alarma a las cinco de la mañana
35,alarm_set,ponga la alarma a media hora de mi hora de comer
36,alarm_set,poner mi alarma para mañana a las seis de la mañana
37,alarm_set,abrir alarma
38,alarm_set,pon una alarma
39,alarm_set,fijar una alarma
40,alarm_set,pon una alarma
41,alarm_set,despiértame a las cuatro de la mañana
42,alarm_set,alarma para las diez de la mañana
43,alarm_set,poner alarma a las ocho de la mañana para doce semanas desde hoy
44,alarm_set,poner alarma mañana a las seis de la mañana
45,alarm_set,pon una alarma y despiértame mañana por la mañana a las seis de la mañana
46,alarm_set,ponga una alarma para el tiempo
47,alarm_set,ponga mi alarma para el tiempo
48,alarm_set,alarma programada para el tiempo
49,alarm_set,pon mi alarma el martes a las seis de la tarde
50,alarm_set,necesito una alarma para el próximo viernes al mediodía
51,alarm_set,necesito una alarma para el domingo a las cinco de la mañana
52,alarm_set,poner una alarma para mañana a las cinco de la mañana
53,alarm_set,ponga la alarma dentro de dos horas
54,alarm_set,ponga una alarma dentro de una hora
55,alarm_set,levántame a las cinco y media de la mañana
56,alarm_set,poner una alarma a las cinco y media de la mañana
57,alarm_set,necesito irme mañana a las ocho de la mañana preparar una alarma treinta minutos antes de eso
58,alarm_set,mike me enviará un correo electrónico mañana por favor puede poner una alarma quince minutos después de recibir ese email
59,alarm_set,si mi paquete muestra que es para el envío mañana puedes poner una alarma una hora después de agradecerte
60,alarm_set,por favor poner una alarma para mañana a las siete y media de la mañana
61,alarm_set,me gustaría poner una alarma para este sábado a las diez
62,alarm_set,poner una alarma para las ocho de la mañana el siguiente martes
63,alarm_set,despiértame a esta hora
64,alarm_set,poner alarma a las seis de la mañana todos los días
65,alarm_set,poner una alarma para mañana a las seis de la mañana
66,alarm_set,poner alarma para mañana al mediodía
67,alarm_set,poner alarme el seis de junio dos mil diecisiete a las cinco de la mañana
68,alarm_set,poner una alarma mañana a las siete de la tarde
69,alarm_set,necesito una alarma el domingo a las ocho de la mañana puedes activar una para mi por favor
70,alarm_set,por favor ponga la alarma a las ocho de la tarde miércoles por la noche
71,alarm_set,que suene la alarma mañana por la mañana a las siete
72,alarm_set,pon una alarma a las ocho de la mañana
73,alarm_set,necesito una alarma a las nueve de la noche
74,alarm_set,cambiar la alarma de ajuste
75,alarm_set,hazme saber cuándo son las diez
76,alarm_set,por favor pon una alarma para mañana a las siete de la mañana
77,alarm_set,envíame una alerta para despertarme a las siete de la mañana mañana por la mañana
78,alarm_set,despiértame al amanecer
79,alarm_set,ve a los ajustes de alarma
80,alarm_set,necesito levantarme a las siete de la mañana
81,alarm_set,está mi alarma puesta a las siete de la mañana
82,alarm_set,poner una alarma a las siete de la mañana
83,alarm_set,poner alarma para la mañana
84,alarm_set,crear una alarma para las cinco de la tarde
85,alarm_set,olly necesito una alarma mañana a las cinco y media de la mañana
86,alarm_set,google pon alarma que suene en una hora
87,alarm_set,despiértame a las siete de la mañana
88,alarm_set,necesito una llamada despertador a las seis de la mañana
89,alarm_set,poner alarma a las nueve de la mañana
90,alarm_set,por favor ponme una alarma
91,alarm_set,poner una alarma para mi mañana
92,alarm_set,necesito que pongas una alarma
93,alarm_set,puedes ponerme una alarma
94,alarm_set,poner una alarma a las nueve de la noche
95,alarm_set,cambio mis alarmas a la hora de la montaña
96,alarm_set,por favor despiértame a las ocho de la mañana
97,alarm_set,poner alarma a las ocho de la mañana
98,alarm_set,alarma para mi a las ocho de la mañana
99,alarm_set,por favor pon alarma a las seis de la mañana
100,alarm_set,podráis por favor poner una alarma a las seis de la mañana
101,alarm_set,necesito poner una alarma mañana a las doce del mediodía para recordarme que tome mi medicación
102,alarm_set,por favor poner mi alarma a las ocho de la mañana
103,alarm_set,necesito una alarma a las ocho de la mañana
104,alarm_set,despertarme a las nueve de la mañana
105,alarm_set,pospón mi alarma quince minutos
106,alarm_set,poner una alarma a las siete y media de la mañana
107,alarm_set,despiértame a las ocho en punto
108,alarm_set,recordarme a las seis y media de la tarde
109,alarm_set,poner alarma dentro de una hora
110,alarm_set,poner una alarma los jueves a las siete de la tarde
111,alarm_set,puedes poner una alarma a las siete de la mañana
112,alarm_set,recuérdame a las cinco de la tarde
113,alarm_set,recordatorio
114,alarm_set,por favor estamos siguiendo alarma
115,alarm_set,pon alarma mañana a las ocho de la mañana
116,alarm_set,poner una alarma para mañana lunes a las ocho de la mañana
117,alarm_set,ponga la alarma para las nueve de la mañana los fines de semana
118,alarm_set,poner alarma el jueves a las nueve de la noche
119,alarm_set,despiértame a las seis y media
120,alarm_set,pon la alarma
121,alarm_set,pon una alarma a las ocho de la tarde
122,alarm_set,puedes poner mi alarma
123,alarm_set,añadir una alarma a las cinco de la mañana en lugar de la alarma de las nueve de la noche
124,alarm_set,activa mi primera alarma programada
125,alarm_set,hora de alarma a las doce del mediodía
126,alarm_set,necesito una alarma
127,alarm_set,poner nueva alarma a las cinco de la mañana
128,alarm_set,por favor poner una nueva alarma
129,alarm_set,alarma a las seis de la mañana por favor
130,alarm_set,crear una alarma a las seis de la mañana
131,alarm_set,llámame a las seis de la mañana
132,alarm_set,quiero levantarme a las seis de la mañana
133,alarm_set,puedes poner una alarma a las siete y media de la mañana
134,alarm_set,por favor despiértame a las siete y media de la mañana
135,alarm_set,pon una alarma continua sin opción de repetir a las siete de la mañana por favor
136,alarm_set,alarma puesta
137,alarm_set,poner la alarma a las cinco de la mañana
138,alarm_set,pon mi alarma a las seis de la mañana
139,alarm_set,por favor agénciatelas para despertarme a las tres de la mañana
140,alarm_set,encender mi alarma
141,alarm_set,pon alarma a las dos de la mañana
142,alarm_set,despiértame a las siete de la mañana
143,alarm_set,alarma cinco de la tarde
144,alarm_set,pon una alarma en una hora
145,alarm_set,por favor pon alarma en mi móvil
146,alarm_set,por favor pon alarma para hoy
147,alarm_set,por favor pon una alarma para todos los días
148,alarm_set,despiértame a las cinco y media
149,alarm_set,alarma a las diez de la mañana por favor
150,alarm_set,abrir alarma y crear una alerta a las diez de la mañana
151,alarm_set,quiero una alarma para las seis de la mañana todos los días
152,alarm_set,pon una alarma para clase de baile dos horas antes de que empiece la clase
153,alarm_set,poner una alarma el miércoles al mediodía para que pueda registrarme para la feria de caza
154,alarm_set,despiértame el viernes a las cinco de la mañana necesito tomar el tren
155,alarm_set,establecer una alarma a las diez a. m. mañana y etiquetarla como reunión
156,alarm_set,por favor pon una alarma para mi próxima reunión con el equipo a las tres de la tarde el próximo viernes
157,alarm_set,establecer una alarma recordatoria para mi reunión con mi agente esta tarde
158,alarm_set,por favor pon un recordaorio a las tres de la tarde el sábado
159,alarm_set,poner una alarma recordatorio para mi reunión de las cinco de la tarde por favor
160,alarm_set,pon alarma a las siete de la mañana por trabajo
161,alarm_set,establecer la alarma el diez de noviembre para el reloj
162,alarm_set,repetir alarma
163,alarm_set,poner alarma el sábado por la mañana para el entrenamiento de fútbol a las ocho de la mañana
164,alarm_set,por favor pon una alarma para la reunión de mañana a las siete de la mañana
165,alarm_set,por favor pon una alarma para la reunión de mañana a las siete de la mañana
166,alarm_set,despiértame cada semana a las siete de la mañana
167,alarm_set,ponga una alarma para estas ocho de la tarde esta noche
168,alarm_set,me pondrás una alarma un día antes de todas mis clases de gimnasia en mi calendario
169,alarm_set,poner una alarma a las cinco de la mañana siete días a la semana
170,alarm_set,por favor que suene la alarma tres horas antes de un evento programado
171,alarm_set,crear evento con alarma para reunión en dos horas
172,alarm_set,pon alarma mañana a las dos de la tarde
173,alarm_set,pon alarma a las dos de la tarde
174,alarm_set,poner alarma para recordatorio
175,alarm_set,programar una alarma para la cita con el dentista de la semana que viene
176,alarm_set,poner una alarma para la reunión del próximo martes
177,alarm_set,pon alarma para esta reunión
178,alarm_set,añade alarma
179,alarm_set,pon una alarma a las cinco de la tarde el martes
180,alarm_set,alarma el martes a las cinco de la tarde
181,alarm_set,ponga la alarma para este recordatorio de evento que se repite durante diez veces
182,alarm_set,despiértame a las cinco de la mañana esta semana
183,alarm_set,poner alarma despertador el jueves a las siete de la mañana
184,alarm_set,poner una alarma a las nueve de la mañana
185,alarm_set,por favor borra la alarma despertador a las ocho de la mañana el próximo sábado
186,alarm_set,pon alarma a las ocho de la mañana
187,alarm_set,poner mi alarma a las siete de la mañana
188,alarm_set,enciende mi alarma de la mañana
189,alarm_set,pon alarma sólo el lunes por la mañana a las seis de la mañana
190,alarm_set,despiértame a las cinco de la mañana
191,alarm_set,poner alarma a las seis y media de la mañana
192,alarm_set,despiertame
193,alarm_set,pon una alarma para mañana a las seis de la mañana
194,alarm_set,despiértame en media hora
195,alarm_set,añadir alarma para mañana por la mañana a las seis de la mañana
196,alarm_set,por favor pon la alamar para el próximo viernes a las seis y media de la mañana
197,alarm_set,poner una nueva alarma para esa hora
198,alarm_set,por favor ponga mi alarma para las cinco p. m.
199,alarm_set,necesito una alarma para mañana a las cinco y media de la mañana
200,alarm_set,quiero una alarma para las tres hoy
201,alarm_set,levántame a las ocho de la mañana
202,alarm_set,poner una alarma a las seis de la mañana
203,alarm_set,quiero poner una alarma cuando conduzca a casa mañana para recordar que debo pasar por la tienda y comprar comida
204,alarm_set,tengo que levantarme a las diez mañana
205,alarm_set,dime cuándo son las cinco de la tarde
206,alarm_set,poner una alarma a las seis y media de la mañana
207,alarm_set,despiértame en treinta minutos
208,alarm_set,activa alarma a las tres y media de la tarde hoy
209,alarm_set,poner mi alarma a las doce del mediodía
210,alarm_set,pon una nueva alarma
211,alarm_set,nueva alarma a las seis de la mañana
212,alarm_set,fijar alarma
213,alarm_set,poner la alarma a las seis a. m.
214,alarm_set,necesito que me levantes a las seis de la mañana
215,alarm_set,poner alarma a las nueve de la mañana el próximo domingo
216,alarm_set,alarma diez de la mañana
217,alarm_set,asegurarse de que tengo que levantarme alas seis de la mañana
218,alarm_set,crea una alarma para hoy a las diez a.m
219,alarm_set,ponga una alarma repetida para recordar el evento de facebook que tengo que asistir en el siete de abril
220,alarm_set,pon alerta para las dos de la tarde
221,alarm_set,solo configure la alarma para recordatorio
222,alarm_set,pon una alarma para la reunión con jaime a las siete hoy
223,audio_volume_mute,olly silencio
224,audio_volume_mute,parar
225,audio_volume_mute,olly para por un minuto
226,audio_volume_mute,para por diez segundos
227,audio_volume_mute,silencio
228,audio_volume_mute,silencio
229,audio_volume_mute,silencio por favor
230,audio_volume_mute,altavoces apagados
231,audio_volume_mute,silencio por favor
232,audio_volume_mute,puedes silenciar cuando no estoy en casa
233,audio_volume_mute,silencia por veinte minutos
234,audio_volume_mute,silenciate hasta que te diga el contrario
235,audio_volume_mute,no hablar por un rato
236,audio_volume_mute,silenciar el sonido en los altavoces por favor
237,audio_volume_mute,ok google silencia el sonido de los altavoces por favor
